,label,keshi,nianling,xiebie,title,dafu1,dafu2,dafu3,dafu4,dafu5,dafu6,dafu7,dafu8,dafu9,dafu10,dafu11,dafu12,dafu13,dafu14,dafu15,dafu16,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1,小儿内科,35岁,男,肺气肿的发病原因都有什么？,肺气肿概述肺气肿是指终末细支气管远端的气道弹性减退，过度膨胀、充气和肺容积增大或同时伴有气道壁破坏的病理状态。,改善环境卫生，做好个人劳动保护，消除及避免烟雾、粉尘和刺激性气体对呼吸道的影响。您好，肺气肿概述肺气肿是指终末细支气管远端(呼吸细支气管、肺泡管、肺泡囊和肺泡)的气道弹性减退，过度膨胀、充气和肺容积增大或同时伴有气道壁破坏的病理状态。按其发病原因肺气肿有如下几种类型,老年性肺气肿，代偿性肺气肿，间质性肺气肿，灶性肺气肿，旁间隔性肺气肿，阻塞性肺气肿。      肺气肿的发病机制至今尚未完全阐明，一般认为是多种因素协同作用形成的。      一、引起慢支的各种因素如感染、吸烟、大气污染、职业性粉尘和有害气体的长期吸入、过敏等，均可引起阻塞性肺气肿。      二、弹性蛋白酶及其抑制因子失衡学说。以上是对“肺气肿的发病原因都有什么？”这个问题的建议，希望对您有帮助，祝您健康！你好，吸烟、感染和大气污染等引起细支气管炎症，管腔狭窄或阻塞。吸气时细支气管管腔扩张，空气进入肺泡；呼气时管腔缩小，空气滞留，肺泡内压不断增高，导致肺泡过度膨胀甚至破裂。细支气管周围的辐射状牵引力损失，使细支气管收缩，致管腔变狭。肺血管内膜增厚，肺泡壁血供减少，肺泡弹性减弱等，助长膨胀的肺泡破裂。在感染等情况下，体内蛋白酶活性增高。α1抗胰蛋白酶缺乏者对蛋白酶的抑制能力减弱，故更易发生肺气肿。      ,您好，对已查出有肺气肿的患者要及时治疗，正规医院都可以治疗的，建议选择到正规医院接受检查，接受有效的治疗。用中药综合调理，尤其是选在夏秋季节，完全没有症状的时候用中药综合调补肺气，增强体质。平日生活中避免受凉，预防感冒;注意心理调节，避免情绪激动;少食多餐，避免暴饮暴食，避免过甜过咸的食物。最好是不要剧烈运动，可根据自己身体情况来锻炼。一、功能性胸闷（即无器质性病变的胸闷）,在门窗密闭、空气不流通的房间内逗留较长时间，或遇到某些不愉快的事情，甚至与别人发生口角、争执，或处于气压偏低的气候中，往往会产生胸闷、疲劳的感觉。经过短时间的休息、开窗通风或到室外呼吸新鲜空气、思想放松、调节情绪，很快就能恢复正常。像这一类的胸闷可以说是功能性的胸闷，不必紧张、也不必治疗。      二、病理性胸闷（即有器质性病变的胸闷）,胸闷不仅可以是生理性的，也可以是由于身体内某些器官发生疾病而引起的，即病理性的胸闷。如,      1.呼吸道受阻,气管支气管内长肿瘤、气管狭窄，气管受外压（甲状腺肿大、纵隔内长肿瘤）；      2.肺部疾病,肺气肿、支气管炎、哮喘、肺不张、肺梗塞、气胸；      3.心脏疾病,某些先天性心脏病风湿性心脏瓣膜病、冠心病、心脏肿瘤；      4.膈肌病变,膈肌膨升症、膈肌麻痹症；      5.体液代谢和酸碱平衡失调等。,根据你提供的病史，目前你的诊断明确为肺气肿，此病的病因是长期吸烟。,就你目前的病情来说，我建议你当前最好还是到医院住院，予以多索茶碱治疗。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,1,小儿内科,45岁,男,支气管哮喘的发病原因是什么,你好，根据你所描述的情况，天气变冷，化粉过敏，化学物质刺激都有可能引起。,避免受寒着凉，注意保暖。不要抽烟，不要吃辛辣油腻煎炸等刺激性食物。应去医院进行住院治疗1.反复发作喘息、气急、胸闷或咳嗽，多与接触变应原、冷空气、物理、化学性刺激以及病毒性上呼吸道感染、运动等有关。2.发作时在双肺可闻及散在或弥漫性，以呼气相为主的哮鸣音，呼气相延长。3.上述症状和体征可经治疗缓解或自行缓解。4.除外其他疾病所引起的喘息、气急、胸闷和咳嗽。其实哮喘本身并不会影响患者的正常寿命，但是如果哮喘疾病没有经过及时的治疗，哮喘病发时的一些意外事故或是并发症，却是可以影响到哮喘患者的，哮喘严重者还会出现猝死的现象以上是对“支气管哮喘的发病原因是什么”这个问题的建议，希望对您有帮助，祝您健康！哮喘又名支气管哮喘，哮喘病是一种慢性支气管疾病。患者平时会因为冷空气、劳累或者其它过敏原等刺激导致呼吸困难。平时，患者可服用白葡奈氏菌片，其可以减轻哮喘发作的胸闷、咳嗽、气急等症状。而且其具有强效抗菌、抗病毒、抗过敏的作用，长期服用有利于持续增强免疫力，从源头上防止哮喘复发。对于支气管哮喘与哮喘的区别是什么，解答如下,　哮喘是指支气管哮喘，虽然它和喘息性支气管炎都表现有哮喘症状，但他们是二种疾病。 喘息性支气管炎是由于呼吸道感染引起支气管壁炎症，粘膜充血水肿，管壁肌肉有痉挛，使呼吸道相对狭窄而产生哮鸣音；常表现有发热、咳嗽和哮喘；过去史中常有婴儿湿疹史；发病年龄以2岁以下多见；治疗以控制感染为主。 而支气管哮喘发病是由于花粉、粉尘、虫螨等过敏而引起；表现以哮喘为主，可无发热、咳嗽等症状；有家庭和个人过敏史，有婴儿湿疹史；发病年龄4～5岁以后多见；治疗原则为解除过敏原，控制哮喘发作。 虽然两者是不同的疾病，但是部分小儿由于哮喘性支气管炎的反复发作，以后可以成为支气管哮喘。以上就支气管哮喘与哮喘的区别的解答,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,1,小儿内科,38岁,女,导致支气管哮喘的原因,根据你的描述已经确诊，支气管哮喘主要还是过敏因素造成的。,出现的气道狭窄。需要长期用激素进行治疗。检查过敏原。避免再次接触引起过敏的物质。支气管哮喘是严重危害人们的呼吸系统的疾病，如果不及时治疗会出现很多并发症，并且更加危害我们的身心健康。导致支气管哮喘的原因有,1、过度劳累,突击性强烈的或长时间的体力劳动，紧张的竞技性运动，均可诱发支气管哮喘。2、微生物感染,感冒和上呼吸道感染是最常见的诱因，尤其病毒感染更易引致小儿支气管哮喘发作。以上是对“导致支气管哮喘的原因”这个问题的建议，希望对您有帮助，祝您健康！导致支气管哮喘的原因,1、精神因素,情绪波动可以成为支气管哮喘的诱因，例如忧虑、悲伤、过度兴奋甚至大笑等。2、过敏因素,尘螨、猫、狗的皮垢、霉菌、花粉、牛奶、禽蛋、蚕丝、羽毛、飞蛾、棉絮、真菌等都是支气管哮喘的重要过敏塬。导致支气管哮喘的原因有,1、 非特异性理化因子,如吸入烟、尘和植物油、汽油或油漆等气味以及冷空气，可刺激支气管粘膜下的感觉神经末梢，反射性地引起迷走神经兴奋和咳嗽，在气道高反应的基础上导致支气管平滑肌痉挛，从而诱发支气管哮喘。2、气候因素,如严寒季节轻易受凉而导致唿吸道感染，或天气忽然变化或气压降低，都可激发支气管哮喘发作。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,1,小儿内科,35岁,男,肺气肿的发病的原因是什么？,您好，根据您的描述。应该坚持的，输液消炎治疗，不要担心,在治疗期间注意休息，避免着凉，同时要少吃辛辣刺激性食物和油腻的食物就可以啦，积极的消炎治疗,你好！肺气肿的发病原因是，慢性支气管炎，引起的支气管壁弹性减低。,你好，慢性咳嗽咳痰每年持续两个月，连续两年以上，定为慢性支气管炎，支气管炎长期发作，会导致支气管壁，弹性减低，形成肺气肿。此种患者，戒烟戒酒，锻炼身体，提高身体抵抗力，平时避免感冒。,你好，咳嗽慢性阻塞性肺病，主要表现为进行性的呼吸困难及肺功能下降，往往在10-20年的时间，所以肺气肿不是输了几天液就可以治愈的,建议你采取中西医结合治疗。中药主要的作用是清理肺部的垃圾以及调理肺部功能。西医急性发作感染期间消炎抗生素治疗，平喘止咳等。以上是对“肺气肿的发病的原因是什么？”这个问题的建议，希望对您有帮助，祝您健康！肺气肿概述肺气肿是指终末细支气管远端(呼吸细支气管、肺泡管、肺泡囊和肺泡)的气道弹性减退，过度膨胀、充气和肺容积增大或同时伴有气道壁破坏的病理状态。按其发病原因肺气肿有如下几种类型,老年性肺气肿，代偿性肺气肿，间质性肺气肿，灶性肺气肿，旁间隔性肺气肿，阻塞性肺气肿。      肺气肿的发病机制至今尚未完全阐明，一般认为是多种因素协同作用形成的。      一、引起慢支的各种因素如感染、吸烟、大气污染、职业性粉尘和有害气体的长期吸入、过敏等，均可引起阻塞性肺气肿。      二、弹性蛋白酶及其抑制因子失衡学说。吸烟、感染和大气污染等引起细支气管炎症，管腔狭窄或阻塞。吸气时细支气管管腔扩张，空气进入肺泡；呼气时管腔缩小，空气滞留，肺泡内压不断增高，导致肺泡过度膨胀甚至破裂。细支气管周围的辐射状牵引力损失，使细支气管收缩，致管腔变狭。肺血管内膜增厚，肺泡壁血供减少，肺泡弹性减弱等，助长膨胀的肺泡破裂。在感染等情况下，体内蛋白酶活性增高。α1抗胰蛋白酶缺乏者对蛋白酶的抑制能力减弱，故更易发生肺气肿。对已查出有肺气肿的患者要及时治疗，正规医院都可以治疗的，建议选择到正规医院接受检查，接受有效的治疗。用中药综合调理，尤其是选在夏秋季节，完全没有症状的时候用中药综合调补肺气，增强体质。平日生活中避免受凉，预防感冒;注意心理调节，避免情绪激动;少食多餐，避免暴饮暴食，避免过甜过咸的食物。最好是不要剧烈运动，可根据自己身体情况来锻炼。胸闷是一种主观感觉，即呼吸费力或气不够用。轻者若无其事，重者则觉得难受，似乎被石头压住胸膛，甚至发生呼吸困难。它可能是身体器官的功能性表现，也可能是人体发生疾病的最早症状之一。不同年龄的人胸闷，其病因不一样，治疗不一样，后果也不一样。       一、功能性胸闷（即无器质性病变的胸闷）,在门窗密闭、空气不流通的房间内逗留较长时间，或遇到某些不愉快的事情，甚至与别人发生口角、争执，或处于气压偏低的气候中，往往会产生胸闷、疲劳的感觉。经过短时间的休息、开窗通风或到室外呼吸新鲜空气、思想放松、调节情绪，很快就能恢复正常。像这一类的胸闷可以说是功能性的胸闷，不必紧张、也不必治疗。       二、病理性胸闷（即有器质性病变的胸闷）,胸闷不仅可以是生理性的，也可以是由于身体内某些器官发生疾病而引起的，即病理性的胸闷。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,1,小儿内科,59岁,女,支气管哮喘是由什么原因造成的,您好，这种情况，建议您还是找中医治疗效果会。比西药好一些,建议您呐嗯，找一个好一点儿的中医给您治疗一段时间哎，这药效果还是非常不错的，中医中药在这一方面儿有很大的优势。通宣理肺丸,根据你陈述的情况，你患有慢性支气管炎。而你所说的每到冬季气喘加重，呼吸困难，卧床不起，是支气管哮喘，你确诊了吗？我看上去是像有点慢性肺心病，慢阻肺。,支气管哮喘与慢阻肺肺心病的治疗原则是不相同的，建议你确诊，然后对症治疗。祝你早日康复,你好，造成支气管哮喘的原因是有可能是和遗传会有关系的，或者是和环境有关系的，有些是过敏性的哮喘表现。,冬季加重的话应该是和冷空气有关系的，到冬季时候一定要注意的。另外出现哮喘后也要及时对症治疗缓解舒服表现的，饮食也要注意一些的。以上是对“支气管哮喘是由什么原因造成的”这个问题的建议，希望对您有帮助，祝您健康！,你好，根据你的描述，支气管哮喘是由多种细胞及细胞组分参与的慢性气道炎症。,主要是进行抗炎治疗.饮食要忌辛辣刺激，多吃维生素多的食物.也得注意保暖.可以服用氨茶碱片.布地奈德气雾剂，祝好。支气管哮喘是一种呼吸道的炎症疾病，发病率比较高。又称为支气管哮喘，发病的因素主要有遗传和环境，在环境因素方面，主要有吸入物的的过敏、运动过后、呼吸道感染，诱发等，会出现喘息、呼吸困难等症状。平时加强营养和身体锻炼，增强抵抗力，避免接触过敏源。在治疗方面主要以消除病因、控制急性发作为主，以药物治疗为主，建议在专业医生的具体指导下进行治疗处理。支气管哮喘跟季节变化有一定的关系。寒冷季节发病率增加，因为秋冬气候转变较频而且又多骤变，病毒性呼吸道感染较多;有些可以致敏的植物花粉，在春秋二季分布浓度增高;温度、湿度高的时候容易使细菌繁殖;气压低的时候可以使花粉、有害粉尘、刺激性气体等聚集在地面，容易吸入。还有呼吸道感染。肺、支气管、气管、鼻旁窦炎症感染可诱发支气管哮喘。当人体接触过敏原是或者是抵抗力低下，容易感染哮喘。支气管哮喘的发病原因有，某些过敏体质的人吸入过敏原，如花粉、真菌孢子等，食用鱼、虾、蛤、牛奶、或者青霉素有易发哮喘，呼吸道感染、寒冷刺激、精神紧张、化学粉尘等因素也会诱发哮喘。哮喘不会传染，这个与个人体质有关，加强锻炼、增强机体抗病能力，如果某些过敏原出现，有哮喘发生的话，要远离过敏原。以上是对“支气管哮喘是由什么原因造成的”这个问题的建议，希望对您有帮助，祝您健康！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,1,小儿内科,44岁,男,肺气肿是哪些原因引起的呢？,你好，肺气肿主要是由于抽烟导致慢性支气管炎长期引起的,肺气肿，这个不能治愈的，平时只能预防减少发作，尽量不要抽烟！工作中少接触粉尘,你好，根据你所描述的症状。目前考虑你应该去医院检查接受医生的治疗,建议你到医院先输液消炎治疗，肺气肿跟你自身原因也有影响，日常生活食物不规律等等都会引起以上是对“肺气肿是哪些原因引起的呢？”这个问题的建议，希望对您有帮助，祝您健康！,如果确定了肺气肿，那就需要注意一下了烟不要用，如果咳嗽用一些药物调理下。,如果他还在抽烟，需要戒烟，到正规医院的呼吸科，主治医生会开一些药物调理的。,男性，44岁，咳嗽，咳痰伴憋喘，活动后加重，确诊肺气肿,您好，一般肺气肿都是由慢性支气管炎逐渐加重形成的肺气肿，平时注意保暖，避免受凉，不要劳累,你好，肺气肿是支气管慢性炎症，慢性咳嗽，咳痰，逐渐导致肺泡失去顺应性，肺泡内气体无法很好排除，肺泡逐渐像气球一样变大，而无法回复原本的弹性。,你好，肺气肿需要保养，戒烟，平时少感冒，多锻炼身体，可以买气球来吹。望采纳。,肺气肿的病因与发病机制尚不清，和蛋白酶-抗蛋白酶失衡、支气管阻塞有关系。感染、吸烟、环境大气污染等等均可引起支气管的炎症、狭窄和阻塞。,肺气肿的患者，可以出现进行性的呼吸困难。需要进行家庭氧疗，呼吸功能锻炼。戒烟，注意保暖，避免受凉及劳累。以上是对“肺气肿是哪些原因引起的呢？”这个问题的建议，希望对您有帮助，祝您健康！,你好，阻塞性肺气肿一般认为与吸烟、感染和大气污染等引起细支气管炎症，管腔狭窄或阻塞有关。,建议您适当应用舒张支气管药物。根据病原菌或经验应用有效抗生素。呼吸功能锻炼作腹式呼吸，缩唇深慢呼气，以加强呼吸肌的活动。增加膈肌活动能力。家庭氧疗每天12～15小时给氧能延长寿命，若能达到每天24小时的持续氧疗，效果更好。肺气肿的形成原因与长期慢性咳嗽造成肺泡弹力减退，扩张、破裂有重要关系，这是一个不可逆的病理改变。得了肺气肿，只能从防止病情继续恶化方面着手，也就是说从控制肺、支气管炎症看手，避免病情加重。 肺气肿是慢性阻塞性肺疾病的一个阶段。慢性阻塞性肺疾病，主要包括既往所称的慢性支气管炎和肺气肿，早期表现为反复咳嗽、咳痰，到后期出现呼吸困难、胸闷等情况，即是从支气管炎发展为肺气肿，是同一疾病的两个阶段，治疗上有相通性。肺气肿是指终末细支气管远端(呼吸细支气管、肺泡管、肺泡囊和肺泡)的气道弹性减退，过度膨胀、充气和肺容积增大或同时伴有气道壁破坏的病理状态。按其发病原因肺气肿有如下几种类型,老年性肺气肿，代偿性肺气肿，间质性肺气肿，灶性肺气肿，旁间隔性肺气肿，阻塞性肺气肿。原因有很多，比如吸烟，大气环境污染，职业性粉尘，过敏等等。,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,1,小儿内科,35岁,男,通常造成肺气肿的原因都有哪些？,你好，根据您所描述的情况来看，考虑应该是肺气肿引起的症状。,建议你可以服用一些治疗肺气肿的药物，观察看看，如果还不好转，要去医院治疗的，祝您健康！以上是对“通常造成肺气肿的原因都有哪些？”这个问题的建议，希望对您有帮助，祝您健康！,你好，根据你所描述的情况来看，考虑应该是肺气肿引起的症状。,建议你服用一些治疗肺气肿的药物，观察看看，如果还不好转，要去医院治疗，祝您健康！化学气体如氯、氧化氮、二氧化硫等，对支气管黏膜有刺激和细胞毒性作用。空气中的烟尘或二氧化硫明显增加时，肺气肿急性发作显著增多。其他粉尘如二氧化硅、煤尘、棉尘、蔗尘等也刺激支气管黏膜，使气道清除功能遭受损害，为细菌入侵创造条件。烹调时产生的大量油烟和生物燃料产生的烟尘与肺气肿发病有关，生物燃料所产生的室内空气污染可能与吸烟具有协同作用。当职业性粉尘及化学物质(烟雾、过敏原、工业废气及室内空气污染等)的浓度过大或接触时间过久，均可导致与吸烟无关的肺气肿发生。接触某些特殊的物质、刺激性物质、有机粉尘及过敏原能使气道反应性增加。呼吸道感染是肺气肿发病和加剧的另一个重要因素。病毒也对肺气肿的发生和发展起作用。儿童期重度下呼吸道感染和成年时的肺功能降低及呼吸系统症状发生有关,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,1,小儿内科,58岁,男,肺气肿的患病原因有哪些呢？,你好，根据你的叙述，一般临床上认为肺气肿和居住环境污染，支气管炎以及吸烟等因素有关,在临床上对于肺气肿，一般是采用抗生素预防感染，同时进行呼吸功能锻炼，使用舒张支气管药物，定期进行低流量吸氧等方式治疗以上是对“肺气肿的患病原因有哪些呢？”这个问题的建议，希望对您有帮助，祝您健康！肺气肿是指终末细支气管远端的气道弹性减退，过度膨胀、充气和肺容积增大或同时伴有气道壁破坏的病理状态。按其发病原因肺气肿有如下几种类型,老年性肺气肿、代偿性肺气肿、间质性肺气肿、灶性肺气肿、旁间隔性肺气肿、阻塞性肺气肿。气候和经济条件相似情况下大气污染严重地区肺气肿发病率比污染较轻地区为高。呼吸道病毒和细菌感染，与肺气肿的发生有一定关系。呼吸道病毒和细菌感染，与肺气肿的发生有一定关系。反复感染可引起支气管粘膜充血、水肿、腺体增生肥大、分泌功能亢进、管壁增厚狭窄。纸烟含有多种有害成分，如焦油尼古丁和一氧化碳等，吸烟者粘液腺岩藻糖及神经氨酸含量增多，可抑制支气管粘膜纤毛活动，减弱肺泡巨噬细胞的作用。吸烟者并发肺气肿或慢性支气管炎和死于呼吸衰竭或肺心病者，远较不吸烟者为多。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,1,小儿内科,12岁,男,引发支气管哮喘的原因有哪些,你好朋友，根据你说的情况，支气管哮喘，主要是免疫力低下，长期支气管炎症没有治愈。,建议及时配合大夫治疗，可以喝点儿。止咳糖浆，别吃辛辣刺激性食物，平时要加强锻炼，增强免疫力。也可以配合用止咳平喘的药物。,引起哮喘的原因有很多，如病毒，或是细菌，支原体等感染，免疫下降，药物，疾病，环境刺激的影响等。,建议平时要注意清淡饮食，禁辛辣，煎炸，高蛋白质刺激性饮食，避风寒，注意保暖，居住环境要清洁卫生，避免灰尘，花粉的刺激。,你好，根据你的描述来看，原因有遗传因素、环境、感染等多方面因素影响,你好，建议选择正规医院进行检查，明确具体情况对症治疗。好好休息，避免劳累，合理饮食，避免辛辣刺激性食物的摄入以上是对“引发支气管哮喘的原因有哪些”这个问题的建议，希望对您有帮助，祝您健康！,引发支气管哮喘，最主要就是遗传因素，哮喘与多基因遗传有关。可能家族中并不明显，很大都是隐性遗传。,另外，就是日常生活中过敏因素导致的。最常见的就是感冒咳嗽后不重视，耽误了病情治疗。1.气候改变。寒冷季节发病率增加，因为秋冬气候转变较频而且又多骤变，病毒性呼吸道感染较多;有些可以致敏的植物花粉，在春秋二季分布浓度增高;温度、湿度高的时候容易使细菌繁殖;气压低的时候可以使花粉、有害粉尘、刺激性气体等聚集在地面，浓度增加，容易吸入。2.呼吸道感染。肺、支气管、气管、鼻旁窦炎症感染可诱发 哮喘 。3.接触过敏原。过敏原种类很多，一般来自体外，如植物的花粉、房屋的尘土、螨虫、工业粉尘、动物毛屑、鱼、虾、油漆、染料等，都可以发病。4.精神因素。情绪激动、条件反射可以诱发哮喘。5其他因素。冷空气、煤气的物理、化学性刺激，剧烈运动或咳嗽后，都可能诱发哮喘。1.遗传因素哮喘与多基因遗传有关，哮喘患者亲属患病率高于群体患病率，并且亲缘关系越近，患病率越高；患者病情越严重，其亲属患病率也越高。2.变应原（1）室内外变应原尘螨是最常见、危害最大的室内变应原，是哮喘在世界范围内的重要发病原因，尘螨存在于皮毛、唾液、尿液与粪便等分泌物里。真菌亦是存在于室内空气中的变应原之一，特别是在阴暗、潮湿以及通风不良的地方。常见的室外变应原,花粉与草粉是最常见的引起哮喘发作的室外变应原。（2）职业性变应原常见的变应原有谷物粉、面粉、木材、饲料、茶、咖啡豆、家蚕、鸽子、蘑菇、抗生素（青霉素、头孢霉素）、松香、活性染料、过硫酸盐、乙二胺等。（3）药物及食物添加剂阿司匹林、普奈洛尔（心得安）和一些非皮质激素类抗炎药是药物所致哮喘的主要变应原。3.促发因素常见空气污染、吸烟、呼吸道病毒感染、妊娠以及剧烈运动、气候转变；多种非特异性刺激如,吸入冷空气、蒸馏水雾滴等都可诱发哮喘发作。此外，精神因素亦可诱发哮喘。1.哮喘类药物。有些药物可引起支气管哮喘发作，如心得安等因阻断β2-肾上腺素能受体而引起哮喘。约2.3%～20%哮喘患者因服用阿司匹林类药物而诱发哮喘，称为阿司匹林哮喘。2.呼吸道感染。支气管哮喘的形成和发作与反复呼吸道感染有关。在哮喘患者中，可存在有细菌、病毒、支原体等的特异性IgE，如果吸入相应的抗原则可激发哮喘。3.日常饮食。由于饮食关系而引起哮喘发作的现象在哮喘病人中常可见到，引起过敏最常见的食物是鱼类、虾蟹、蛋类、牛奶等。4.天气情况。当气温、温度、气压和(或)空气中离子等改变时可诱发支气管哮喘，故在寒冷季节或秋冬气候转变时较多发病。5.精神因素。支气管哮喘患者的情绪激动、紧张不安、怨怒等，都会促使哮喘发作，一般认为它是通过大脑皮层和迷走神经反射或过度换气所致。6.气道吸入物。吸入物分为特异性和非特异性两种。如尘螨、花粉、真菌、动物毛屑等;非特异性吸入物如硫酸、二氧化硫、氯氨等。以上是对“引发支气管哮喘的原因有哪些”这个问题的建议，希望对您有帮助，祝您健康！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,1,小儿内科,2岁,男,导致小儿支气管哮喘的原因有哪些？,您好，您咨询说孩子感冒后，总是不好。诊断为支气管哮喘，您咨询导致支气管哮喘的原因。,导致支气管哮喘的原因有很多，比如说空气，还有过敏因素，炎症都可以导致。,你说的情况是小孩子有支气管哮喘，这个和先天的一个遗传都是有相关性的。,目前小孩子的一个支气管哮喘，可以选择药物雾化，吸入治疗，如果咳嗽明显的话，需要排除下肺部感染。以上是对“导致小儿支气管哮喘的原因有哪些？”这个问题的建议，希望对您有帮助，祝您健康！你好，导致小儿支气管哮喘的原因有,      1.过敏原      过敏物质大致分为三类,      ①引起感染的病原体及其毒素，小儿哮喘发作常和呼吸道感染密切相关，婴幼儿哮喘中95%以上是由于呼吸道感染所致，主要病原体是呼吸道病毒，如合胞病毒(RSV)、腺病毒、流感、副流感病毒等。现已证明合胞病毒感染可因发生特异性 IgE介导Ⅰ型变态反应而发生喘息。其他如鼻窦炎、扁桃体炎、龋齿等局部感染也可能是诱发因素。      ②吸入物，通常自呼吸道吸入，国内应用皮肤试验显示，引起哮喘最主要过敏原为尘螨、屋尘、霉菌、多价花粉(蒿属、豚草)、羽毛等，亦有报告接触蚕发哮喘，特别是螨作为吸入性变应原，在呼吸道变态反应性疾病中占有一定重要地位。儿童期对螨的过敏比成人为多，春秋季是螨生存的最短适宜季节，因此尘螨性哮喘好发于春秋季，且夜间发病者多见。此外，吸入变应原所致哮喘发作往往与季节、地区和居住环境有关，一旦停止接触，症状即可减轻或消失。      ③食物，主要为异性蛋白质，如牛奶、鸡蛋、鱼虾、香料等，食物过敏以婴儿期为常见，4～5岁以后逐渐减少。您好，哮喘是一种呼吸道的炎症疾病，发病率比较高，尤其是小儿。又称为支气管哮喘，发病的因素主要有遗传和环境，在环境因素方面，主要有吸入物的的过敏、运动过后、呼吸道感染诱发等，会出现喘息、呼吸困难等症状。主要可以通过药物治疗，一般可以自行缓解或是通过自行服药后马上缓解，但也需要及时处理治疗，若是症状严重可导致缺血缺氧从而导致中枢性的损害等严重并发症，建议在专业医生的指导下进行及时合理的治疗。平时要注意多锻炼身体和饮食营养，增强自身体质，避免吸入过敏源诱发哮喘的发生。你好，导致小儿支气管哮喘的原因有以下几个方面,      1）春天天气冷热变化较大，忽冷忽热，容易引起上呼吸道感染即感冒，而上呼吸感染可以诱发哮喘。并且，突然的冷空气刺激，也可以引起气管痉挛，发生气喘。      2）春天，万物复苏，草木吐绿，百花竟放，某些野草、树木的风媒花粉此期间散放出许许多多花粉颗粒，它们漂浮于空气中，具有过敏性体质的人吸入某些花粉便开始打喷嚏、流鼻涕、鼻痒、咳嗽，此后逐渐引起哮喘。      3）很多灰尘中生长着一种称为“螨”的小虫，春天的气温、湿度恰恰适合它们的生长繁殖。哮喘病人及过敏性体质的人吸入这些藏有大量螨虫的灰尘，便可引起哮喘发作。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
